,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloVelDisp,SubhaloHalfmassRad,SubhaloMassInHalfRad,SubhaloVmax,SubhaloStellarPhotometrics,SubhaloBHMass,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhaloMassInHalfRadGas,SubhaloMassInHalfRadDM,SubhaloMassInHalfRadNone,SubhaloMassInHalfRadTracers,SubhaloMassInHalfRadStellar,SubhaloMassInHalfRadBH,SubhalosSFR,SubhaloGasFraction
156809,4371211,51384125976562.5,True,16311753,1.320802,[-225.8964    -10.562484   79.0964  ],378.27307,271.53442,956228561401.3672,643.05865,"[-22.463879 -22.844004 -23.699627 -26.638323 -23.293724 -24.039867
 -24.399021 -24.656242]",2754768133.163452,6586917724609.375,44179785156250.0,0.0,0.0,614666595458.9844,2754884064.1975403,4851032197.475433,641290664672.8516,0.0,0.0,307332878112.79297,0.2753968,0.0021488104007939867,0.015784293002635
161162,4371211,44386206054687.5,True,14096853,10.233296,[   4.922519    6.179274 -228.80656 ],307.03235,326.4251,1071351776123.0469,540.98566,"[-23.028479 -23.19476  -23.90878  -26.675344 -23.587667 -24.208418
 -24.521246 -24.749365]",1858229786.157608,5665526123046.875,38200480957031.25,0.0,0.0,518340415954.58984,1858466267.5857544,19409010410.308838,790915374755.8594,0.0,0.0,259169712066.6504,0.18576662,0.019742424243539308,0.07488919231934572
163675,4371211,47825639648437.5,True,15287149,0.40206027,[-106.27465     -2.3619938   28.322062 ],344.03326,280.77252,980307464599.6094,605.621,"[-22.257254 -22.6846   -23.560913 -26.518532 -23.143482 -23.905905
 -24.270401 -24.531374]",3162249028.6827087,6298710937500.0,40973955078125.0,0.0,0.0,549808120727.5391,3164677321.910858,3101939558.982849,699138488769.5312,0.0,0.0,274903678894.04297,0.31633955,0.0007312737938054061,0.011283732438438701
165727,4371211,35502902832031.25,True,11213777,6.721049,[-145.88278 -165.72803  175.3542 ],298.944,287.8716,734641799926.7578,536.46625,"[-22.698885 -22.889296 -23.64253  -26.482475 -23.296776 -23.955631
 -24.285467 -24.52556 ]",1599619239.5687103,4414153747558.594,30629853515625.0,0.0,0.0,457294273376.46484,1599619239.5687103,16591835021.972656,487803344726.5625,0.0,0.0,228646984100.3418,0.15996192,0.014697426194109879,0.07256529136938594
168390,4371211,45553681640625.0,True,14318289,0.35557047,[  8.383989  30.761438 173.63884 ],333.4713,285.1747,1409596557617.1875,586.3022,"[-22.63376  -23.048332 -23.914846 -26.842844 -23.504059 -24.255268
 -24.612913 -24.868082]",2403552383.184433,5497922973632.8125,39388813476562.5,0.0,0.0,664540252685.5469,2405320703.983307,10193191766.738892,1064729385375.9766,0.0,0.0,332269668579.10156,0.24042684,0.000535062344063244,0.03067746692115611
170540,4371211,40458481445312.5,True,13002846,0.37350392,[-343.8193   114.49153  283.8596 ],330.75763,305.02414,645813674926.7578,571.0597,"[-22.407066 -22.821207 -23.685665 -26.623539 -23.27605  -24.025265
 -24.381884 -24.637918]",1933224797.2488403,5313798828125.0,34623112792968.75,0.0,0.0,519634170532.22656,1934421211.4810944,1792950630.1879883,382269783020.01953,0.0,0.0,259816532135.00977,0.19344212,0.0007187824523425443,0.006900833505299456
172649,4371211,22751828613281.25,True,6753965,0.21946049,[25.404179 27.156773 69.782074],246.94792,257.73303,438555564880.3711,446.8805,"[-21.540623 -21.965092 -22.84279  -25.806875 -22.42445  -23.188131
 -23.553009 -23.814651]",1336526721.7159271,2327978515625.0,20145028076171.875,0.0,0.0,277486381530.7617,1336526721.7159271,586640574.0380287,297889423370.3613,0.0,0.0,138742952346.80176,0.13365267,0.0007908874163663906,0.004228254942792787
175238,4371211,35798649902343.75,True,11206551,9.676073,[-162.91315   19.1086  -214.21428],333.70102,277.9163,642744827270.5078,529.83734,"[-22.693718 -22.787191 -23.44948  -26.19094  -23.158733 -23.7367
 -24.041159 -24.266304]",1361841112.3752594,4525176086425.781,30915681152343.75,0.0,0.0,356430168151.85547,1362433731.5559387,11190018653.869629,451978378295.89844,0.0,0.0,178215065002.4414,0.13613708,0.027147177593054843,0.06278940926636216
177719,4371211,44049609375000.0,True,13633133,0.16275163,[-206.91504   95.79807  -85.39629],319.52902,320.82376,1108650436401.3672,646.7542,"[-23.027529 -23.46841  -24.342003 -27.320885 -23.927444 -24.682907
 -25.041515 -25.304743]",2549721598.625183,4618792724609.375,38540273437500.0,0.0,0.0,887995605468.75,2549819052.219391,2207355350.255966,659895782470.7031,0.0,0.0,443997497558.59375,0.2549819,0.00018327976956902128,0.004971549079428459
181983,4371211,34054343261718.75,True,10720705,2.1570573,[ 276.66455  -169.57857    14.494731],273.71475,391.6184,250921192169.18945,446.93118,"[-22.120556 -22.382841 -23.130182 -25.935537 -22.790913 -23.435307
 -23.750809 -23.981943]",695145055.6516647,4526257629394.531,29290617675781.25,0.0,0.0,236772441864.01367,695145055.6516647,2114948183.298111,129725313186.64551,0.0,0.0,118385801315.30762,0.069514506,0.00911025484354175,0.017864880414714415
186927,4371211,41320488281250.0,True,12706134,10.494498,[-142.47624    36.650757  157.16522 ],346.8253,255.82887,943036422729.4922,596.37836,"[-22.943974 -23.083387 -23.810665 -26.622955 -23.480011 -24.117424
 -24.442373 -24.67972 ]",1822094321.2509155,4682664184570.3125,36097358398437.5,0.0,0.0,538642082214.35547,1822939068.0789948,20472033023.83423,651422348022.4609,0.0,0.0,269320507049.56055,0.18214943,0.019483249822824483,0.07601364355097902
188859,4371211,33837944335937.5,True,11000572,35.491825,[-807.57904 -236.50764 -187.95346],310.22443,241.41617,747969741821.2891,551.7134,"[-23.824392 -23.778187 -24.34455  -27.069542 -24.113403 -24.602306
 -24.883009 -25.106634]",1609462052.5836945,4334589843750.0,28875249023437.5,0.0,0.0,626495895385.7422,1610384434.4615936,22605578899.383545,410506095886.23047,0.0,0.0,313247661590.5762,0.16103844,0.05665132902731462,0.07216519601327366
191079,4371211,34537478027343.75,True,10996320,0.79259694,[-218.79364   -50.969864  -77.95218 ],293.80615,269.36725,808292999267.5781,525.7588,"[-22.370926 -22.728258 -23.550686 -26.423351 -23.166172 -23.87841
 -24.22058  -24.466291]",1432984471.321106,4439098510742.1875,29658322753906.25,0.0,0.0,438623695373.53516,1432984471.321106,4479469358.921051,583068733215.332,0.0,0.0,219311790466.3086,0.14329845,0.0018070089340497435,0.02042511872889571
192898,4371211,28373149414062.5,True,8594655,1.3346106,[-85.40862  126.302155 -46.83729 ],276.21396,332.57233,267365818023.68164,432.80423,"[-21.713408 -21.97005  -22.708187 -25.493288 -22.373444 -23.013752
 -23.333618 -23.564528]",796562731.2660217,3350192565917.9688,24825244140625.0,0.0,0.0,196914291381.83594,796889886.2600327,3938750624.6566772,164175148010.2539,0.0,0.0,98456525802.6123,0.07954122,0.0067776217359971636,0.04000497267751623
194946,4371211,16408554687500.0,True,4876685,6.063454,[-17.906275   2.198391 115.09543 ],227.53052,271.29343,305314445495.60547,381.2839,"[-22.18222  -22.297514 -22.999313 -25.811382 -22.684294 -23.298466
 -23.6157   -23.852842]",647523403.1677246,1636033172607.4219,14539229736328.125,0.0,0.0,232644786834.7168,647523403.1677246,4952745735.645294,183392028808.59375,0.0,0.0,116322154998.7793,0.06475234,0.026063142156120454,0.04257783683338113
197108,4371211,27481867675781.25,True,8503962,0.16159277,[ 198.97585    -3.404131 -155.78334 ],271.74155,294.24524,394911231994.6289,451.30243,"[-21.49006  -21.893934 -22.753721 -25.666183 -22.346498 -23.093216
 -23.449448 -23.701635]",1102125197.649002,3375183715820.3125,23861726074218.75,0.0,0.0,243853263854.98047,1103173568.8447952,1318576633.9302063,270563144683.8379,0.0,0.0,121926326751.70898,0.11031736,0.0006626639483434173,0.010814535868166998
