,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
547443,4371211,40.52165,True,123622,0.6198106,[ 300.1944   196.96152 -448.07263],3.2368057,36.03481,0.0,0.0,1.2437023,0.006333047,0.04983592927455902
547470,4371211,40.085815,True,120918,0.70686436,[  61.873302 -148.14944  -107.7894  ],4.3964,35.24156,0.0,0.0,0.44485563,0.0029972654,0.1588974714279175
547493,4371211,41.89432,True,128797,2.437732,[-150.6427   143.21693  -75.45427],4.046511,36.86951,0.0,0.0,0.97335815,0.004940882,0.2504455327987671
547512,4371211,41.011635,True,124983,2.720953,[  44.811207 -803.3897    116.44651 ],3.8888648,36.13036,0.0,0.0,0.989544,0.0028630092,0.2749703884124756
547527,4371211,43.781242,True,128217,0.83612525,[ 14.069154  74.08298  207.56793 ],3.0464625,39.42873,0.0,0.0,1.3003386,0.0057122493,0.06430057883262634
547546,4371211,34.622738,True,110075,1.595326,[-148.46129   95.81173  143.93083],4.166927,29.684795,0.0,0.0,0.76828647,0.0027298164,0.20764727592468263
547632,4371211,41.311516,True,125294,1.7838533,[110.096146 -72.782906  73.22895 ],3.7908754,36.511566,0.0,0.0,1.004322,0.0047546243,0.17761765718460085
547655,4371211,43.265682,True,126971,1.3458691,[247.80731   63.246304  96.48643 ],3.4801638,38.79221,0.0,0.0,0.98716617,0.0061403904,0.13633662462234497
547671,4371211,33.512226,True,101637,0.52761513,[ 33.471836 123.96395   64.70728 ],3.5289145,29.415323,0.0,0.0,0.56499785,0.002991284,0.09338356256484986
547714,4371211,39.783897,True,128157,2.253642,[ -97.44785  408.64508 -142.9692 ],5.125395,33.825447,0.0,0.0,0.828907,0.004146481,0.27188117504119874
547738,4371211,32.058804,True,93300,0.32700124,[-326.2831     18.269127 -149.45863 ],3.2903657,28.52349,0.0,0.0,0.24400674,0.0009390111,0.13401319980621337
547767,4371211,41.20838,True,126827,1.3543599,[368.25803   71.0262    63.344692],4.443876,35.96706,0.0,0.0,0.79549575,0.0019471311,0.1702535629272461
547788,4371211,39.93135,True,124605,0.9462889,[-229.67038   98.57911  -77.46039],3.8280122,34.86238,0.0,0.0,1.2367032,0.004255808,0.07651705741882325
547830,4371211,41.233364,True,124641,1.2097976,[236.54623   63.654667  11.883197],3.682415,36.318436,0.0,0.0,1.2287511,0.0037614752,0.09845750331878662
547848,4371211,41.626644,True,124199,2.429597,[  61.57321 -299.94357  -91.65938],3.924199,36.943832,0.0,0.0,0.7553012,0.003312207,0.32167260646820073
547872,4371211,40.006226,True,114613,2.36903,[-131.91745 -106.11002  188.37756],2.0340297,36.395786,0.0,0.0,1.5704886,0.005919125,0.15084668397903445
547892,4371211,40.368458,True,125271,1.285202,[-212.55519  -366.50137    26.530933],3.6416998,35.518616,0.0,0.0,1.2009535,0.0071884627,0.10701513290405273
547907,4371211,41.468834,True,126159,0.5652022,[229.23102     2.5954542  88.20478  ],3.376428,36.770924,0.0,0.0,1.3174089,0.004074324,0.04290256202220917
547924,4371211,35.241825,True,101392,0.95702094,[408.92664  -11.061024 309.77643 ],3.0564947,31.606483,0.0,0.0,0.57698184,0.001865338,0.16586673259735107
547956,4371211,37.08164,True,115109,1.514279,[-129.24875  131.88525 -117.28951],4.0325947,32.110035,0.0,0.0,0.937405,0.0016043641,0.16153947114944459
547984,4371211,39.98337,True,129128,1.0415834,[ 466.34674  395.4774  -355.37936],4.7155104,34.120705,0.0,0.0,1.1435881,0.0035714356,0.0910802960395813
547998,4371211,42.09569,True,124025,1.4848223,[-314.8057    349.40964   -28.666119],3.4064846,37.586414,0.0,0.0,1.0994593,0.003333896,0.13505022525787355
548019,4371211,27.50742,True,84595,0.46898207,[ -73.70451   -19.304205 -197.29579 ],3.5703852,23.771091,0.0,0.0,0.1654354,0.00050619495,0.28348350524902344
548053,4371211,43.526073,True,128299,1.7729388,[ 10.653686  35.045868 195.39108 ],2.6632812,39.20577,0.0,0.0,1.651615,0.0054072835,0.10734577178955079
548088,4371211,41.50194,True,124956,1.1797917,[-124.56764   -54.133793  151.23177 ],3.6135082,36.82502,0.0,0.0,1.060028,0.0033867047,0.1112981677055359
548113,4371211,44.464363,True,120220,1.0284394,[-365.88394  318.74686  199.40309],2.7693784,40.936855,0.0,0.0,0.754408,0.0037210453,0.13632403612136842
548129,4371211,40.162903,True,125986,2.3743353,[ -94.419945   26.459538 -152.58052 ],4.26795,34.73194,0.0,0.0,1.160087,0.0029215566,0.2046687364578247
548153,4371211,36.118782,True,105334,0.37519875,[ 107.389015 -144.2962   -195.95514 ],2.8462932,32.435623,0.0,0.0,0.8309208,0.0059443843,0.04515457451343537
548188,4371211,25.54489,True,80185,0.4121689,[-178.70517    25.307688 -172.80528 ],3.2928586,21.935352,0.0,0.0,0.31560308,0.0010752042,0.13059723377227783
548208,4371211,40.96828,True,119956,1.2024779,[ -38.08523 -267.69257  305.43945],3.0264113,36.74312,0.0,0.0,1.1940705,0.004682253,0.10070409774780274
548223,4371211,35.24462,True,108823,1.0868582,[ 95.382355 208.75018  100.851456],3.3293903,30.938114,0.0,0.0,0.9704226,0.0066951127,0.11199843883514404
548267,4371211,39.441372,True,115318,0.29598477,[ 76.820816 200.98796  -39.75941 ],3.731818,35.05349,0.0,0.0,0.6537645,0.0023003833,0.04527391493320465
548305,4371211,43.36731,True,127328,1.3446949,[-36.75097 194.78242 241.83673],3.2205725,38.94439,0.0,0.0,1.1937412,0.008608003,0.112645423412323
548321,4371211,44.245586,True,126498,0.9862877,[ 95.10948  89.82102 297.1195 ],2.8105133,40.230064,0.0,0.0,1.1973289,0.0076812785,0.08237400054931641
548343,4371211,31.12066,True,97672,0.29485416,[104.14101   25.764364 106.86219 ],3.7772706,26.852568,0.0,0.0,0.4893391,0.0014826593,0.060255587100982666
548369,4371211,40.555634,True,119647,1.30481,[-281.4751    49.39597 -188.97957],3.7189913,36.130867,0.0,0.0,0.7031443,0.0026322706,0.1855678915977478
548403,4371211,36.181072,True,110909,1.8246164,[-250.9164   240.18546 -246.85855],3.6963809,31.714676,0.0,0.0,0.76666135,0.0033537254,0.23799510002136232
548446,4371211,39.18718,True,123221,1.7455324,[-209.55475  229.3095  -168.63026],3.1801558,34.40332,0.0,0.0,1.5945077,0.009194565,0.10947155952453613
548458,4371211,40.90487,True,122045,1.0899917,[-270.37524 -109.05321   18.49459],3.1931934,36.51915,0.0,0.0,1.1887842,0.003742169,0.09168961644172668
548488,4371211,32.727516,True,100623,0.8513724,[378.23615  387.14127  -34.354874],4.111152,28.247448,0.0,0.0,0.36764345,0.0012740563,0.2315755844116211
548501,4371211,43.181328,True,127502,0.5778023,[ -3.0823405 -44.233192  116.53264  ],3.332227,38.639526,0.0,0.0,1.2039121,0.0056615844,0.04799372553825379
548520,4371211,38.71665,True,125632,2.387162,[ -0.54030627 -45.050194   -41.62381   ],3.2958221,33.57165,0.0,0.0,1.8437579,0.00541973,0.12947263717651367
548531,4371211,39.267105,True,119068,2.2737293,[-110.83286   126.523926  -33.913578],3.8863683,34.50848,0.0,0.0,0.86827826,0.00398118,0.26186642646789554
548572,4371211,42.85287,True,122732,1.2919598,[-14.820347   9.835651 404.9374  ],2.8774922,38.756313,0.0,0.0,1.2131182,0.0059450245,0.10649908781051637
548590,4371211,42.79258,True,126613,3.0077202,[ 59.32588  110.175865 -77.682724],3.3448231,38.233044,0.0,0.0,1.2095122,0.005198574,0.24867215156555178
548631,4371211,37.234726,True,116979,0.32338843,[-473.4549     57.039318 -170.90292 ],4.4612503,32.1611,0.0,0.0,0.60898036,0.0033980003,0.053103262186050416
548688,4371211,35.80716,True,111130,1.5361485,[-145.25595  301.89636 -193.32478],3.9442904,31.210619,0.0,0.0,0.64982504,0.0024242098,0.23639416694641113
548719,4371211,40.1979,True,125808,0.8197619,[223.02953 260.23212 -56.46825],3.6311758,35.141457,0.0,0.0,1.4167355,0.008529436,0.05786272883415222
548735,4371211,41.800354,True,122966,1.0107908,[  39.85497    57.274445 -266.7723  ],3.5695179,37.28661,0.0,0.0,0.93981546,0.0044106795,0.10755205154418945
548756,4371211,38.544018,True,112561,1.1271013,[ -34.21886   -56.665203 -202.93298 ],3.5347655,34.46146,0.0,0.0,0.5450468,0.002745141,0.20678982734680176
548783,4371211,38.103157,True,116560,1.7283268,[  25.2055    -28.282154 -121.5466  ],3.486131,33.59339,0.0,0.0,1.0176736,0.00596171,0.16983114480972292
