,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
581288,4371211,26.743057,True,77983,0.614664,2.20006,23.8626,0.0,0.0,0.6780698,0.0023263902
581296,4371211,25.738514,True,75692,0.34903875,2.4584782,22.892405,0.0,0.0,0.38593236,0.0016999858
581319,4371211,26.81378,True,77561,1.156073,2.1681602,24.07393,0.0,0.0,0.5683396,0.003349058
581338,4371211,26.180067,True,78695,1.103969,2.8441255,22.908583,0.0,0.0,0.4260942,0.0012638912
581349,4371211,24.933245,True,76069,0.8794494,3.0080545,21.596111,0.0,0.0,0.32807794,0.0009997747
581365,4371211,26.87755,True,76442,1.251402,2.1232548,24.220043,0.0,0.0,0.5315689,0.0026835555
581371,4371211,25.591282,True,77987,0.29203075,2.622161,22.458622,0.0,0.0,0.5088585,0.0016413134
581382,4371211,25.221788,True,75114,0.95238554,2.6351595,22.309477,0.0,0.0,0.2759271,0.0012252638
581405,4371211,23.480398,True,67760,0.8149389,2.0372114,20.985378,0.0,0.0,0.456103,0.0017053182
581428,4371211,27.558603,True,76196,0.73433083,1.9044847,25.166477,0.0,0.0,0.48519295,0.0024477819
581440,4371211,26.873642,True,77354,0.35537353,1.5359862,24.424294,0.0,0.0,0.90871626,0.00464496
581450,4371211,26.688747,True,77778,0.6458752,2.1334555,23.859062,0.0,0.0,0.6941127,0.002116425
581462,4371211,23.129082,True,67829,0.75910753,2.3282194,20.50306,0.0,0.0,0.29619515,0.0016073197
581475,4371211,21.837416,True,65522,0.07565412,0.9075437,19.760878,0.0,0.0,1.163167,0.00582826
581487,4371211,23.894472,True,64990,0.67647254,1.3318788,21.99046,0.0,0.0,0.56974274,0.0023915658
581492,4371211,16.446777,True,52591,0.49064693,1.7164427,14.18692,0.0,0.0,0.54188603,0.0015283372
581533,4371211,21.524862,True,61888,0.23268601,1.9984671,19.266426,0.0,0.0,0.25823846,0.0017308238
581556,4371211,24.06578,True,76340,1.0173949,2.9253721,20.583952,0.0,0.0,0.5544098,0.002046571
