,Unnamed: 0,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
536,403624,4371211,200.92302,True,594987,0.33842459999999996,15.035279000000001,179.64925,0.0,0.0,6.2175403,0.020948311,0.005443062427757807
537,403787,4371211,293.285,True,759610,0.0,7.3226438,277.03902999999997,0.0,0.0,8.892022,0.031294495,0.0
538,403910,4371211,286.2816,True,748909,0.0,9.891835,268.79413,0.0,0.0,7.5671177,0.02848966,0.0
539,404093,4371211,235.42664,True,706002,0.025120572999999997,22.463805999999998,208.40329,0.0,0.0,4.545968,0.013571014,0.0005525901854126557
540,404216,4371211,251.81298999999999,True,710800,0.15645431,10.99735,231.65364,0.0,0.0,9.146455,0.015548844,0.0017105458890903638
541,404319,4371211,279.3477,True,721725,0.0,9.181128999999999,263.04172,0.0,0.0,7.109736,0.015118626000000001,0.0
542,404501,4371211,281.97064,True,746713,0.0008087002,11.038152,263.70047,0.0,0.0,7.2058563,0.026157172000000003,1.1222818861930401e-05
543,404644,4371211,269.10828,True,760331,0.063245274,13.422787,246.64746,0.0,0.0,9.015088,0.02293909,0.0007015491584774326
544,404769,4371211,222.47298999999998,True,626362,0.14468381,8.550077,204.96336000000002,0.0,0.0,8.944295,0.015253013000000001,0.0016176099960924812
545,404888,4371211,274.8176,True,782102,0.1875612,19.325836,248.82192999999998,0.0,0.0,6.641240600000001,0.028596826000000002,0.0028241892034449106
546,405000,4371211,209.47865,True,585237,0.55941564,9.687461,192.79317,0.0,0.0,6.9844029999999995,0.013612813999999999,0.008009498306440795
547,405133,4371211,323.80962999999997,True,782098,0.0,9.974691,309.24008,0.0,0.0,4.562026,0.03282564,0.0
548,405295,4371211,231.6536,True,620331,0.0,10.600199,215.28465,0.0,0.0,5.7529345,0.015798833,0.0
549,405460,4371211,257.69675,True,722466,0.09617445599999999,9.589222999999999,237.81305,0.0,0.0,10.256639999999999,0.037836622,0.0009376799419692999
550,405568,4371211,296.0812,True,749722,0.0,10.317049,279.6852,0.0,0.0,6.04706,0.031892832,0.0
551,405745,4371211,213.33522000000002,True,533435,0.047351826,7.38104,201.92283999999998,0.0,0.0,4.0067177,0.02463039,0.0011818108872506791
552,405882,4371211,156.29935,True,412571,0.013686688999999998,7.72165,145.47092,0.0,0.0,3.0908487,0.015940648,0.0004428132959080139
555,406380,4371211,221.11992999999998,True,560086,0.0,5.4680943,209.66167,0.0,0.0,5.96861,0.021574682,0.0
556,406495,4371211,317.43582000000004,True,772174,0.0,9.565165499999999,302.87186,0.0,0.0,4.9682636,0.030520435,0.0
557,406698,4371211,170.05706999999998,True,459670,0.5223526,4.707457499999999,158.74426,0.0,0.0,6.592944999999999,0.012398078,0.007922902435861363
558,406878,4371211,240.88484,True,637357,0.15573674,13.904057,223.0518,0.0,0.0,3.9137042,0.015291983,0.003979267007455495
559,407020,4371211,166.44136,True,423567,0.0,4.3961625,157.65373,0.0,0.0,4.375296,0.016163362,0.0
560,407204,4371211,289.966,True,766757,0.23891239999999997,10.001541,271.5313,0.0,0.0,8.407232,0.025904637,0.002841748627848024
567,408224,4371211,323.6663,True,770180,0.0,6.6961803,311.26086000000004,0.0,0.0,5.681972,0.02728771,0.0
568,408393,4371211,308.46213,True,776042,0.0,5.2650843,293.96313,0.0,0.0,9.196494,0.03739469,0.0
569,408497,4371211,316.60247999999996,True,744748,0.00145936,8.009762,304.47455,0.0,0.0,4.086035,0.03214439,3.5715797833351894e-05
570,408647,4371211,213.22007999999997,True,603212,0.37261653,13.849939000000001,193.93932,0.0,0.0,5.4190984,0.0117276665,0.006875987525895451
571,408764,4371211,335.05704,True,780063,0.0060481730000000004,5.6617120000000005,324.02005,0.0,0.0,5.3414197,0.033878583,0.00011323156276223717
572,408935,4371211,186.08723,True,548835,0.4163082,15.356728,166.27884,0.0,0.0,4.440003,0.011670307,0.00937630447546995
576,409475,4371211,149.3569,True,390933,0.0,2.332339,141.3161,0.0,0.0,5.694089,0.014363625,0.0
577,409645,4371211,294.92694,True,738479,0.0015778457,7.77187,280.19937000000004,0.0,0.0,6.932683,0.023004318,2.2759524703495025e-05
578,409761,4371211,242.69893,True,705995,0.017299443,14.229118,220.08205,0.0,0.0,8.368953,0.018799523000000002,0.00020670976405292278
579,409883,4371211,257.39716,True,681600,0.0,9.021717,241.04012999999998,0.0,0.0,7.314760700000001,0.020552354,0.0
580,409986,4371211,259.15265,True,654130,0.0,8.878283,245.13932999999997,0.0,0.0,5.1194773,0.015548148999999999,0.0
583,410456,4371211,211.20425,True,567802,0.1452095,11.293244999999999,195.32558999999998,0.0,0.0,4.567745700000001,0.01767433,0.003179018919551497
584,410567,4371211,152.5258,True,406454,0.042828605,2.9661348,143.44963,0.0,0.0,6.0943656,0.015669595,0.0007027573961102695
585,410700,4371211,191.9786,True,429235,0.0,0.15275677,188.25413999999998,0.0,0.0,3.5525904,0.019136076999999998,0.0
587,411034,4371211,212.69731000000002,True,556323,0.004898175,7.375862,199.71701000000002,0.0,0.0,5.5879145,0.016518981999999998,8.765658458088434e-05
588,411154,4371211,298.16927999999996,True,719155,0.0023756046,9.502673,284.67422,0.0,0.0,3.9726136,0.019761462,5.9799538520434e-05
