,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
701375,4371211,4.731291,True,11834,0.29449,4.4197307,0.0,0.0,0.01696494,0.00010539018
701390,4371211,5.517332,True,14243,0.34460786,5.127029,0.0,0.0,0.045564126,0.00013128972
701393,4371211,2.2699606,True,5663,0.0,2.1790252,0.0,0.0,0.090935506,0.0
701401,4371211,5.1512914,True,13263,0.33037624,4.769588,0.0,0.0,0.051188618,0.00013881426
701407,4371211,5.1755223,True,14034,0.42620105,4.707402,0.0,0.0,0.04175893,0.00016019803
701409,4371211,5.4009757,True,14130,0.41931364,4.96929,0.0,0.0,0.012291598,8.078963e-05
701413,4371211,5.409738,True,14146,0.38704064,4.9869847,0.0,0.0,0.035608586,0.000103883656
701415,4371211,5.769936,True,14272,0.31526276,5.4278455,0.0,0.0,0.026719037,0.0001086565
701418,4371211,5.000988,True,13789,0.36320916,4.558258,0.0,0.0,0.0794122,0.00010859813
701421,4371211,5.314388,True,13848,0.33423626,4.9146876,0.0,0.0,0.06530806,0.0001557807
701423,4371211,5.0787096,True,13705,0.4396549,4.6229715,0.0,0.0,0.015983533,9.960008e-05
701438,4371211,5.2862415,True,13542,0.4036507,4.866658,0.0,0.0,0.015772812,0.00015999403
701441,4371211,5.11752,True,13615,0.43247753,4.662912,0.0,0.0,0.02204895,8.18798e-05
701443,4371211,5.699486,True,13646,0.2565909,5.4187455,0.0,0.0,0.024026277,0.0001234334
701446,4371211,5.639028,True,13569,0.20326315,5.3606043,0.0,0.0,0.07504327,0.000117365875
701451,4371211,5.5478673,True,14369,0.36838013,5.133601,0.0,0.0,0.04579114,9.4543975e-05
701453,4371211,4.697702,True,13106,0.3969441,4.247835,0.0,0.0,0.052832633,8.996172e-05
701466,4371211,5.325179,True,14138,0.43171245,4.8782864,0.0,0.0,0.015034038,0.00014615172
701471,4371211,5.425813,True,13114,0.25094697,5.1330957,0.0,0.0,0.04166914,0.00010132394
701475,4371211,5.449349,True,14344,0.40674007,5.0097356,0.0,0.0,0.032761753,0.00011151428
701477,4371211,5.162588,True,14191,0.49744332,4.637633,0.0,0.0,0.027418725,9.320938e-05
701479,4371211,5.585145,True,14257,0.39304352,5.1755643,0.0,0.0,0.016421966,0.00011551891
701481,4371211,5.3215027,True,14285,0.3483553,4.887387,0.0,0.0,0.08560606,0.00015467824
701483,4371211,5.1235795,True,14073,0.49018678,4.62196,0.0,0.0,0.011335331,9.722448e-05
701485,4371211,5.288504,True,13701,0.27111173,4.9177213,0.0,0.0,0.099507794,0.00016328823
701489,4371211,4.678522,True,13086,0.46820757,4.1891885,0.0,0.0,0.021042481,8.353805e-05
701495,4371211,5.3184876,True,14268,0.43139592,4.85503,0.0,0.0,0.031952,0.00010987486
701498,4371211,5.4094405,True,14250,0.4017705,4.9839516,0.0,0.0,0.023621112,9.72972e-05
701500,4371211,4.662359,True,12656,0.41805044,4.232668,0.0,0.0,0.0114678675,0.00017299334
701532,4371211,5.395046,True,12768,0.26909825,5.1148953,0.0,0.0,0.010951056,0.000101632264
701539,4371211,3.2951665,True,7937,0.18871997,3.0946202,0.0,0.0,0.011738451,8.787476e-05
701545,4371211,5.6197934,True,13275,0.25473818,5.3333035,0.0,0.0,0.03163508,0.000116694064
701546,4371211,5.070146,True,13630,0.41725168,4.624488,0.0,0.0,0.028277867,0.00012845718
701559,4371211,5.245465,True,14316,0.49870512,4.73167,0.0,0.0,0.0149650285,0.00012488996
701563,4371211,5.2088704,True,14237,0.47885415,4.708919,0.0,0.0,0.020965198,0.0001319387
701566,4371211,5.093424,True,13020,0.3527819,4.725097,0.0,0.0,0.015413931,0.000130653
701571,4371211,4.5825844,True,13544,0.54702353,4.0056653,0.0,0.0,0.029771687,0.00012378533
701591,4371211,4.915747,True,13397,0.4476447,4.4354033,0.0,0.0,0.032574747,0.00012424077
701601,4371211,5.377994,True,12428,0.19641572,5.1548357,0.0,0.0,0.026592541,0.0001502186
701606,4371211,5.5245705,True,14033,0.36289975,5.1406794,0.0,0.0,0.020894334,9.675416e-05
701609,4371211,4.786941,True,13605,0.500622,4.2680583,0.0,0.0,0.018179774,8.102464e-05
701629,4371211,4.987816,True,13455,0.42705306,4.543091,0.0,0.0,0.01757096,0.000101095146
701640,4371211,4.8336973,True,12166,0.21422185,4.538035,0.0,0.0,0.08122794,0.0002124651
701649,4371211,5.3768463,True,13059,0.26686096,5.073438,0.0,0.0,0.036419168,0.00012803945
701651,4371211,5.377341,True,14175,0.43204537,4.928338,0.0,0.0,0.016813839,0.00014331078
701652,4371211,4.558102,True,10155,0.08814816,4.4278197,0.0,0.0,0.041975174,0.00015923886
701658,4371211,5.260496,True,13376,0.28339663,4.9065986,0.0,0.0,0.07033562,0.00016523559
701661,4371211,5.2344856,True,13746,0.3862644,4.8226733,0.0,0.0,0.02544602,0.00010203545
701674,4371211,5.0548873,True,13678,0.47329405,4.559269,0.0,0.0,0.022153342,0.00017111043
701678,4371211,4.796035,True,11736,0.28374997,4.5016336,0.0,0.0,0.010501298,0.0001500087
701685,4371211,4.9738226,True,13087,0.38247573,4.578986,0.0,0.0,0.012194948,0.00016529889
701690,4371211,3.7407534,True,13086,0.72239316,2.9909775,0.0,0.0,0.027283272,9.942471e-05
701695,4371211,5.359179,True,14221,0.42853412,4.9045763,0.0,0.0,0.025950126,0.00011872286
701704,4371211,5.232031,True,13660,0.38161263,4.8317738,0.0,0.0,0.018519808,0.00012503496
701717,4371211,5.2561855,True,14207,0.47972533,4.7630153,0.0,0.0,0.013343527,0.00010108329
701719,4371211,5.0158753,True,13402,0.42675278,4.576964,0.0,0.0,0.012020744,0.00013755244
701725,4371211,5.100493,True,13717,0.45726782,4.630049,0.0,0.0,0.013095623,8.006464e-05
701745,4371211,4.94345,True,12838,0.36287934,4.5683694,0.0,0.0,0.012094264,0.00010714272
701760,4371211,5.4132,True,12622,0.0,5.2620173,0.0,0.0,0.15055108,0.00063162006
701762,4371211,5.572102,True,14221,0.29768384,5.213988,0.0,0.0,0.060309462,0.000121175166
701764,4371211,4.9343,True,13532,0.47439232,4.4424815,0.0,0.0,0.017339583,8.657247e-05
701771,4371211,5.578042,True,14263,0.399376,5.16343,0.0,0.0,0.015111126,0.00012460031
701772,4371211,5.359978,True,14040,0.4182855,4.926316,0.0,0.0,0.01523791,0.00013889853
701780,4371211,4.995607,True,13550,0.46458003,4.515284,0.0,0.0,0.015650034,9.2601476e-05
701792,4371211,4.808576,True,11773,0.26948437,4.5092173,0.0,0.0,0.029750513,0.0001240952
701796,4371211,4.182117,True,10946,0.32848772,3.827703,0.0,0.0,0.02581123,0.00011505874
701799,4371211,5.2747426,True,13743,0.39713946,4.864636,0.0,0.0,0.012861952,0.000105415995
701805,4371211,5.1712837,True,14005,0.44832587,4.7033577,0.0,0.0,0.019485367,0.00011498539
701810,4371211,5.381595,True,14070,0.37245736,4.9738398,0.0,0.0,0.03518344,0.00011446502
701812,4371211,5.243456,True,13732,0.4405343,4.789305,0.0,0.0,0.013525457,9.075136e-05
701816,4371211,4.645356,True,11964,0.3321843,4.300415,0.0,0.0,0.012638039,0.00011870221
701833,4371211,5.523922,True,14348,0.3747563,5.1098394,0.0,0.0,0.039188396,0.0001376531
701837,4371211,5.630842,True,14247,0.33161047,5.2690954,0.0,0.0,0.029989015,0.00014760812
701855,4371211,4.074776,True,11056,0.35806644,3.6997926,0.0,0.0,0.016800454,0.00011672453
701858,4371211,5.662803,True,14013,0.3271454,5.322686,0.0,0.0,0.0128219705,0.00014955287
701866,4371211,5.47822,True,14229,0.39217365,5.0562487,0.0,0.0,0.029714119,8.3668034e-05
701868,4371211,5.0820246,True,13939,0.4610824,4.6002207,0.0,0.0,0.020551804,0.00016985893
701881,4371211,5.2964373,True,12425,0.21214855,5.0552373,0.0,0.0,0.028962377,8.909089e-05
701885,4371211,5.4926853,True,14167,0.39710182,5.074955,0.0,0.0,0.0204647,0.00016413248
701888,4371211,4.3281646,True,11474,0.38529596,3.923762,0.0,0.0,0.018973902,0.00013265238
701890,4371211,5.4349713,True,13811,0.35171053,5.0668654,0.0,0.0,0.016306791,8.8277826e-05
701895,4371211,5.1228247,True,14026,0.45268628,4.6487556,0.0,0.0,0.021280691,0.00010195288
701898,4371211,5.192623,True,13645,0.40121907,4.7771716,0.0,0.0,0.014107675,0.00012489494
701920,4371211,5.138959,True,14141,0.50761837,4.6179156,0.0,0.0,0.013294198,0.00013058462
701933,4371211,5.238709,True,13941,0.44459534,4.780205,0.0,0.0,0.01379413,0.00011436069
701945,4371211,4.9667177,True,13239,0.406437,4.549663,0.0,0.0,0.010531333,8.620086e-05
701958,4371211,5.593843,True,12185,0.12501498,5.4566636,0.0,0.0,0.012029828,0.00013500286
701965,4371211,4.818102,True,12303,0.33146864,4.4652324,0.0,0.0,0.021268737,0.00013220252
701972,4371211,5.663886,True,14169,0.33040076,5.312069,0.0,0.0,0.021318084,9.790967e-05
701975,4371211,5.259437,True,14227,0.48398444,4.76251,0.0,0.0,0.01284407,9.847849e-05
701977,4371211,5.508648,True,14082,0.3791011,5.118434,0.0,0.0,0.01100505,0.00010767828
701987,4371211,5.688463,True,14280,0.35117173,5.314091,0.0,0.0,0.023103906,9.6354546e-05
701995,4371211,4.667678,True,11283,0.08113158,4.473827,0.0,0.0,0.11207952,0.00063999224
702007,4371211,5.2989984,True,14118,0.42409787,4.8494687,0.0,0.0,0.025292004,0.00013962523
702011,4371211,5.2834926,True,14297,0.41804755,4.8125615,0.0,0.0,0.052714456,0.00016883918
702012,4371211,5.200444,True,13856,0.4401274,4.736726,0.0,0.0,0.023453934,0.00013717462
702013,4371211,5.112974,True,12115,0.20831297,4.8616023,0.0,0.0,0.04288334,0.00017553386
702020,4371211,6.2163153,True,13373,0.06969035,6.1012707,0.0,0.0,0.04522779,0.00012675463
702028,4371211,5.1733823,True,13078,0.32547423,4.8044724,0.0,0.0,0.043311004,0.00012427228
702031,4371211,4.5937486,True,13357,0.39820284,4.0906014,0.0,0.0,0.104671605,0.00027226613
702037,4371211,5.5875893,True,14232,0.3292359,5.22056,0.0,0.0,0.037625313,0.0001680256
702046,4371211,4.4577637,True,13945,0.5181875,3.8433757,0.0,0.0,0.096200265,0.0
702048,4371211,3.7553613,True,8739,0.13826536,3.5936222,0.0,0.0,0.023367342,0.000106629865
702070,4371211,6.2392855,True,14045,0.17826897,6.0451517,0.0,0.0,0.0157638,0.00010085495
702079,4371211,5.767212,True,14197,0.27979577,5.445541,0.0,0.0,0.041743826,0.00013176225
702087,4371211,5.1034555,True,13835,0.45116764,4.638139,0.0,0.0,0.014038543,0.00011071648
702092,4371211,4.454859,True,13045,0.4597439,3.9308403,0.0,0.0,0.06427492,0.0
702094,4371211,5.3439565,True,13893,0.4037095,4.9268217,0.0,0.0,0.0133385975,8.685843e-05
