S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
1.54495486,1.889560581,38.9756393,3,9.390654,9.390654,0.859734184,4.417714139,242,1.415094751,0.670000017,0.02019,50.73835923,57.74020546,220371
1.892763889,3.002040272,79.45212395,3,9.553991,9.553991,0.566882217,3.843388442,249,1.226226531,0.850388765,0.0195,50.86260704,75.78472666,220439
1.008736345,0.931333393,24.24585146,3,9.205978,9.205978,1.179080572,3.771276216,556,1.002816304,0.424172014,0.00703,50.90873931,53.71806395,220687
0.945472702,1.850824862,45.68317431,0,10.955364,10.955364,0.403639998,7.337330364,540,0.957871466,0.922986269,0.02497,190.6485522,193.3658363,227266
1.710334893,2.046422247,41.01909193,2.5,9.508476,9.508476,1.170696073,5.15143236,139,1.753343422,0.43087101,0.02478,63.3355757,69.66116638,227351
1.764090691,2.046620223,55.80615044,2,11.00698,11.00698,0.47736594,15.4096076,709,1.837240918,0.892948627,0.03882,145.0468345,150.3188193,228105
1.237115347,2.815483578,69.25733353,2,10.701111,10.701111,0.756312383,4.373490596,120,1.271333679,0.740207136,0.03006,178.0028276,184.6166183,228564
1.126828337,2.079884179,92.16843664,2,10.151083,10.151083,0.496422978,7.328215449,531,0.66470741,0.884436548,0.02611,62.89999312,90.57549056,228570
2.980190379,6.358718662,166.9327115,2,10.612229,10.612229,0.795309417,6.278232882,153,1.502672366,0.714482903,0.03803,108.8525747,160.5682039,229163
1.592466742,3.218509198,71.65651828,2,10.418962,10.418962,1.110330942,4.091599856,94,1.672251737,0.479126185,0.01731,120.2811812,130.5177799,230634
1.133439093,2.176515708,74.70728581,2.5,10.145643,10.145643,1.262645657,8.682546773,321,1.078449063,0.358203113,0.02436,68.46143701,86.47287224,230714
3.847426852,7.954262329,186.7626413,2,10.769747,10.769747,0.700056388,10.3929666,232,1.409194489,0.775584221,0.05411,129.3298005,184.8413898,238358
2.365425392,4.757542847,97.92655283,3,10.4686985,10.4686985,0.938856742,12.44157994,239,1.951338985,0.612357557,0.05583,96.25685428,118.5756588,238406
