,S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
221,1.4706757959999999,5.176019531000001,132.0527989,0.0,10.824718800000001,10.824718800000001,0.589333807,6.50684598,136,0.683042965,0.838710368,0.04496,196.0459074,217.1473432,9016800236
228,1.041801113,3.768242533,95.95507619,0.0,11.59325,11.59325,0.31957519,15.48939664,527,1.034040645,0.951445937,0.0521,296.4563462,304.1217742,9091700037
232,0.8914800409999999,2.604969074,102.500786,0.0,11.36941778,11.36941778,0.73906408,17.46072352,393,0.7662307540000001,0.75127697,0.062079999999999996,253.5973923,263.7514795,9239900108
235,4.63256266,8.456348027999999,260.5324464,0.0,11.02458079,11.02458079,0.32278103399999997,9.774203918,245,1.3155867159999999,0.9504765270000001,0.055260000000000004,144.7966031,234.31737900000002,9239900256
240,1.531390766,3.353228548,102.9325029,0.0,11.55296471,11.55296471,0.46994140799999995,22.6546516,680,1.401967121,0.896182835,0.057589999999999995,306.97846,315.4890252,9388000001
247,1.298441825,2.7645762830000002,163.55303830000003,0.0,10.97147845,10.97147845,0.5990952420000001,7.810395336,423,1.080709674,0.833511233,0.02698,181.5595267,215.264163,9403800002
250,0.7220202609999999,1.99679054,43.0831679,0.0,11.03298387,11.03298387,0.606147601,8.29840686,300,0.7633714540000001,0.8297096490000001,0.03416,223.4675039,225.5344874,9403800117
251,3.430390136,5.223722636000001,282.5564901,0.0,11.04139803,11.04139803,0.67321104,5.386774008,230,4.04397075,0.7917059059999999,0.02692,252.7301285,322.16704189999996,9403800123
254,1.367754493,3.2824411889999996,125.4988422,0.0,11.08738382,11.08738382,0.560828254,6.808010808,267,1.413788575,0.853470325,0.02852,218.39089199999998,235.73196940000003,9403800184
269,1.03508395,2.340922323,72.67544034,0.0,11.45416635,11.45416635,0.352535384,11.88134348,730,1.074304667,0.941037476,0.0275,276.35878460000004,281.0961359,9403801368
