,S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
32,1.605366787,2.877813451,94.43961817,2.5,10.273163,10.273163,0.709165693,11.77645259,307,1.153028798,0.7699999809999999,0.053070000000000006,68.21590721,95.46114778,91627
34,1.3959167890000002,3.8453498219999998,78.97934685,2.0,10.1763525,10.1763525,1.223686738,4.223165182,134,0.85872681,0.38870853200000005,0.01968,93.97422333,109.316162,99349
37,0.686072638,1.276163797,59.79708741,2.0,10.516088499999999,10.516088499999999,0.7291936109999999,17.81520211,735,0.743264516,0.757524133,0.02567,134.07065740000002,140.58018,106638
47,2.2338076680000003,3.9928155760000004,167.1251895,2.5,10.624880000000001,10.624880000000001,0.7410692809999999,12.91467536,300,1.037375922,0.75,0.05811,76.1357327,140.5776094,176955
48,1.429838156,3.0485260430000003,113.51230530000001,2.0,10.728399000000001,10.728399000000001,0.99005911,12.68657011,651,0.9705595659999999,0.5735556479999999,0.028419999999999997,92.54155027,122.5008582,184368
50,2.725571532,4.932888817,126.3115562,2.0,10.121877,10.121877,0.578993767,7.363101263,136,1.3670292469999998,0.844137549,0.05192000000000001,63.053990899999995,109.33028119999999,185282
52,2.0564016830000003,4.977226271,116.47768980000001,2.0,10.800202,10.800202,0.82623482,11.14499656,294,1.8206342219999998,0.6934265490000001,0.04836,148.1860812,169.53654699999998,197555
54,0.7574332690000001,2.7809985760000004,59.268910899999995,1.0,10.925868,10.925868,0.742843033,7.677133501,135,0.7210609490000001,0.748868227,0.05168,184.78491519999997,189.4778794,202399
55,1.9454004059999999,4.39600805,91.4591525,2.0,10.184922,10.184922,1.015363671,8.483213015,117,1.3337157659999999,0.554016769,0.051879999999999996,90.40164904,111.15235690000002,202443
56,1.468420244,2.918078359,107.6634283,2.5,10.575294,10.575294,0.9420088990000001,11.47166865,260,1.016903903,0.610000014,0.04989,75.94062224,107.5299261,202673
58,0.960709123,2.2673851519999997,70.08913797,2.0,10.363828,10.363828,1.311568118,6.505813741,298,0.971213891,0.321059406,0.01743,92.49471303,104.9357688,204799
60,2.514366222,4.166490766,85.64423726,2.0,10.484283,10.484283,1.03554424,8.325774867,97,2.6680763290000002,0.538286805,0.055479999999999995,104.0656897,120.4040508,205097
65,1.9431324730000001,4.955052797,102.7673997,1.5,10.542709,10.542709,1.156720454,7.072447376,156,0.9388152940000001,0.44204697,0.03333,114.1744486,135.3379988,214184
